127.0.0.1 - - [08/May/2006:17:03:04 +0200] "GET /cgi/perltest.cgi HTTP/1.1" 404 1118
127.0.0.1 - - [08/May/2006:17:03:23 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:17 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:17 +0200] "GET /xampp/xampp.css HTTP/1.1" 200 4663
127.0.0.1 - - [08/May/2006:17:04:18 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:19 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:20 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:20 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:37 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:37 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:38 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:39 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:40 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:41 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
127.0.0.1 - - [08/May/2006:17:04:42 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:05:05 +0200] "GET /cgi-bin/perltest.cgi HTTP/1.1" 200 213
127.0.0.1 - - [08/May/2006:17:05:05 +0200] "GET /xampp/xampp.css HTTP/1.1" 304 -
